0	1
1.95313	0.934
3.90625	0.881
5.85938	0.867
7.8125	0.84
9.76563	0.816
11.71875	0.793
13.67188	0.854
15.625	0.775
17.57813	0.731
19.53125	0.731
21.48438	0.763
23.4375	0.721
25.39063	0.738
27.34375	0.744
29.29688	0.711
31.25	0.683
33.20313	0.685
35.15625	0.671
37.10938	0.662
39.0625	0.643
41.01563	0.69
42.96875	0.683
44.92188	0.65
46.875	0.674
48.82813	0.633
50.78125	0.609
52.73438	0.641
54.6875	0.622
56.64063	0.555
58.59375	0.595
60.54688	0.608
62.5	0.575
64.45313	0.584
66.40625	0.608
68.35938	0.566
70.3125	0.559
72.26563	0.576
74.21875	0.576
76.17188	0.562
78.125	0.55
80.07813	0.517
82.03125	0.524
83.98438	0.541
85.9375	0.534
87.89063	0.556
89.84375	0.529
91.79688	0.492
93.75	0.508
95.70313	0.483
97.65625	0.507
99.60938	0.481
101.5625	0.467
103.51563	0.466
105.46875	0.443
107.42188	0.454
109.375	0.482
111.32813	0.504
113.28125	0.442
115.23438	0.476
117.1875	0.426
119.14063	0.49
121.09375	0.413
123.04688	0.41
125	0.457
126.95313	0.418
128.90625	0.409
130.85938	0.422
132.8125	0.385
134.76563	0.436
136.71875	0.413
138.67188	0.386
140.625	0.417
142.57813	0.392
144.53125	0.428
146.48438	0.399
148.4375	0.4
150.39063	0.363
152.34375	0.428
154.29688	0.442
156.25	0.397
158.20313	0.412
160.15625	0.395
162.10938	0.364
164.0625	0.365
166.01563	0.377
167.96875	0.339
169.92188	0.38
171.875	0.358
173.82813	0.356
175.78125	0.363
177.73438	0.335
179.6875	0.377
181.64063	0.357
183.59375	0.352
185.54688	0.351
187.5	0.371
189.45313	0.325
191.40625	0.361
193.35938	0.346
195.3125	0.352
197.26563	0.309
199.21875	0.322
201.17188	0.339
203.125	0.287
205.07813	0.316
207.03125	0.33
208.98438	0.319
210.9375	0.295
212.89063	0.275
214.84375	0.313
216.79688	0.289
218.75	0.272
220.70313	0.286
222.65625	0.295
224.60938	0.294
226.5625	0.303
228.51563	0.262
230.46875	0.302
232.42188	0.314
234.375	0.278
236.32813	0.293
238.28125	0.297
240.23438	0.313
242.1875	0.275
244.14063	0.273
246.09375	0.275
248.04688	0.268
250	0.29

